,PROCUREMENT,,,,,,,,,,,,,,
Sl No.,IOM Version,Project,Package,Scope of work,Awarded Vendor name,Budget incl Escalation,Total Finalized Proposed Award Value (Excl Tax),Expected (-) Savings / (+) Escalations w.r.t Budget incl. escalation,Basis of award,TES/ Non-TES,Requisition Date,Finalization Date,TAT,Time Period,Delay
1,IOMP20260330110946,Godrej Joka,Miscellaneous / other works,Supply of 18 SWG GI binding wire (On Debitable Basis from M/s Kuber Dutta Construction Pvt Ltd),MAHAMAYA MPBM WIRE INDUSTRIES,0.0147,0.0147,0.00000 %,L1,Non-TES,,,,,
2,IOMP20260402084753,Godrej Joka,Civil - RMC,Procurement of RMC for H2 Tower & NTA (April' 26),Nirman Concrete Private Limited,1.1232,1.7726,-2.44836 %,L1,TES,,,,,
3,IOMP20260402084753,Godrej Joka,Civil - RMC,Procurement of RMC for H2 Tower & NTA (April' 26),Firstchoice Ready Mix,0.6768,1.7726,0.01478 %,L2,TES,,,,,
4,IOMP20260407041146,Godrej Joka,Civil - Steel Rebar,Procurement of Reinforcement Steel (April' 26),Rashmi Metaliks Ltd,1.041,1.0379,-0.29779 %,L1,TES,,,,,
5,IOMP20260408112501,Godrej Joka,Civil - RMC,Supply of RMC (Base rate finalization for the month of April'26 of M/s Rainbow Infrastructure),Nirman Concrete Private Limited,1.1658,1.094,-6.15886 %,L1,TES,,,,,
6,IOMP20260409085044,Godrej Joka,Miscellaneous / other works,Supply of Fairmate/Ultratech make PGM grout (On Debitable Basis from M/s Kuber Dutta Construction Pvt Ltd),PUGALIA ENTERPRISE,0.00766,0.00766,0.00000 %,L1,Non-TES,,,,,
7,IOMP20260425035921,Godrej Joka,Miscellaneous / other works,Supply of PU Foam (On Debit-able Basis from M/s JG Engineers Pvt Ltd – for Tower H1 & M/s Kuber Dutt Construction Pvt Ltd for Tower H2),TECH ANCHOR INC,0.0144,0.0144,0.00000 %,L1,Non-TES,,,,,
8,IOMP20260425041300,Godrej Joka,Miscellaneous / other works,Supply of Fly ash bricks (On Debit able Basis from M/s JG Engineers Pvt Ltd),Durga Oil Industries,0.0644,0.0644,0.00000 %,L1,Non-TES,,,,,
9,IOMP20260427103519,Godrej Joka,Civil - Steel Rebar,Supply Reinforcement Steel for Joka PH-IIA (NTA) for April'26,Shakambhari Ispat & Power Ltd,0.7194,0.6346,-11.78760 %,L1,TES,,,,,
10,IOMP20260504043440,Godrej Joka,Civil - RMC,Supply of RMC at Godrej Joka PH- III (May'26),CONCRETEO TRMC LLP,0.4801,0.9321,-2.99938 %,L1,TES,,,,,
11,IOMP20260504043440,Godrej Joka,Civil - RMC,Supply of RMC at Godrej Joka PH- III (May'26),M/s Ultratech Cement Limited,0.4808,0.9321,-2.99501 %,L1,TES,,,,,
12,IOMP20260511031924,Godrej Joka,Civil - Aluminium Formwork,"Procurement of aluminium formwork for Godrej Elevate, Joka, Phase III project",Winntus Aluminium Formwork,13.63,13.41,-1.61409 %,L1,,,,,,
13,IOMP20260515104639,Godrej Joka,Civil - Steel Rebar,Supply of Reinforcement Steel (PH III) (May' 26),Shakambhari Ispat & Power Ltd,0.396,0.3736,-5.65657 %,L1,TES,,,,,
